PremiseID,PremisesName,AltPremisesName,Customer,PremiseType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,RatingReferenceNumber,RatingType,RatingScope,CertificateValidTo,EnergyStarRatingValue,EnergyGPStarRatingValueNoGP,EnergyGreenPowerPercent,EnergyGreenPower,WasteStarRatingValue,IEQStarRatingValue,GHGEmissionsScope123,GHGEmissionsScope123NoGP,GHGEmissionsScope123PerM2,GHGEmissionsScope123PerM2NoGP,EnergyIntensityByM2,EnergyIntensityByRoom,GHGEmissionsScope123PerRoom,GHGEmissionsScope123PerRoomNoGP,TotalEnergyUse,CarbonNeutral,CarbonNeutralExpiryDate,AAAStarRatingValue,DataCentre_PUE,HospitalPeerGroup,WaterStarRatingValue,WaterStarRatingValueNoRW,WaterRecycledPercent,WaterRecycled,WaterConsumption,WaterConsumptionWoRW,WaterConsumptionPerRoom,WaterConsumptionPerRoomNoRW,WaterIntensity,WaterIntensityNoRW,ThermalComfortScore,AirQualityScore,AcousticComfortScore,LightingScore,OfficeLayoutScore,RecycleRate,WasteIntensity
42,Brindabella Commercial & Aerospace Cntrs,Brindabella Commercial & Aerospace Cntrs,Canberra Airport Group,Office,2,Brindabella Circuit,MAJURA,ACT,2609,NULL,NULL,N49572,Energy,Base Building,2018-09-26 0:00:00,3,3,0,NO,NULL,NULL,466181,466181,113.8860116,113.8860116,544,NULL,NULL,NULL,2229229.94,NO,2018-09-26 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
46,32 Phillip St,32 Phillip St,SAVILLS (NSW) PTY LIMITED,Office,32,Phillip Street,PARRAMATTA,NSW,2150,-33.81240589,151.0055714,N49504,Energy,Whole Building,2018-11-07 0:00:00,4,4,0,NO,NULL,NULL,1336757,1336757,203.6342448,203.6342448,757,NULL,NULL,NULL,4973336.6,NO,2018-11-07 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
46,32 Phillip St,32 Phillip St,SAVILLS (NSW) PTY LIMITED,Office,32,Phillip Street,PARRAMATTA,NSW,2150,-33.81240589,151.0055714,N49504,Water,Whole Building,2018-11-07 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-11-07 0:00:00,NULL,TBA,TBA,3.5,3.5,0,NO,4621.5,4621.5,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
47,NSW Ministry of Health,NSW Ministry of Health,PROPERTYLINK FUNDS MANAGEMENT PTY LTD,Office,73,Miller Street,NORTH SYDNEY,NSW,2060,-33.84058399,151.2069153,N49026,Energy,Base Building,2018-08-11 0:00:00,5,5,0,NO,NULL,NULL,1005194,1005194,71.84935277,71.84935277,348,NULL,NULL,NULL,4872940.7,NO,2018-08-11 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
47,NSW Ministry of Health,NSW Ministry of Health,PROPERTYLINK FUNDS MANAGEMENT PTY LTD,Office,73,Miller Street,NORTH SYDNEY,NSW,2060,-33.84058399,151.2069153,N49026,Water,Base Building,2018-08-11 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-08-11 0:00:00,NULL,TBA,TBA,3,3,0,NO,13073.1,13073.1,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
55,38 Sydney Avenue,"38 Sydney Ave, Forrest",Merlin Australia Sub Pty Ltd atf 10-12 Julius Ave Trust,Office,38,Sydney Avenue,FORREST,ACT,2603,-35.31187766,149.1299451,N48876,Energy,Base Building,2018-06-22 0:00:00,4.5,4.5,0,NO,NULL,NULL,600735,600735,67.92187235,67.92187235,401,NULL,NULL,NULL,3552801.96,NO,2018-06-22 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
56,,,THE TRUSTEE FOR CENTURIA METROPOLITAN PROPERTY TRUST,Office,60,Marcus Clarke Street,CANBERRA,ACT,2601,-35.27589771,149.1269576,N49250,Energy,Base Building,2018-08-15 0:00:00,4,4,0,NO,NULL,NULL,801929,801929,74.94523467,74.94523467,456,NULL,NULL,NULL,4886797.66,NO,2018-08-15 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
56,,,THE TRUSTEE FOR CENTURIA METROPOLITAN PROPERTY TRUST,Office,60,Marcus Clarke Street,CANBERRA,ACT,2601,-35.27589771,149.1269576,N49250,Water,Base Building,2018-08-15 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-08-15 0:00:00,NULL,TBA,TBA,3,3,0,NO,6324.5,6324.5,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
59,8 Chifley Square,8 Chifley Square,Mirvac Real Estate Pty Ltd,Office,8-12,Chifley Square,SYDNEY,NSW,2000,-33.8666442,151.2110679,N49964,Energy,Base Building,2018-12-20 0:00:00,5,5,0,NO,NULL,NULL,1435031,1435031,79.04198774,79.04198774,713,NULL,NULL,NULL,12954129.18,NO,2018-12-20 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
59,8 Chifley Square,8 Chifley Square,Mirvac Real Estate Pty Ltd,Office,8-12,Chifley Square,SYDNEY,NSW,2000,-33.8666442,151.2110679,N49964,Water,Base Building,2018-12-20 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-12-20 0:00:00,NULL,TBA,TBA,3.5,3.5,0,NO,15374.2,15374.2,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
70,Governor Macquarie Tower,Governor Macquarie Tower,DEXUS Property Services Pty Limited,Office,"Governor Macquarie Tower, 1",Farrer Place,SYDNEY,NSW,2000,-33.86431023,151.2113549,N51136,Energy,Base Building,2019-02-28 0:00:00,4.5,4,9.1,YES,NULL,NULL,2780774,3048892,104.067378,114.1013963,459,NULL,NULL,NULL,12288867.06,NO,2019-02-28 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
73,Darling Park Tower 2,Darling Park Tower 2,DPT OPERATOR PTY LIMITED,Office,"Darling Park Tower 2, 201",Sussex Street,SYDNEY,NSW,2000,NULL,NULL,N49078,Energy,Base Building,2018-08-09 0:00:00,6,5.5,44.5,YES,NULL,NULL,1546633,2694502,34.84631988,60.70831193,251,NULL,NULL,NULL,11144467.3,NO,2018-08-09 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
73,Darling Park Tower 2,Darling Park Tower 2,DPT OPERATOR PTY LIMITED,Office,"Darling Park Tower 2, 201",Sussex Street,SYDNEY,NSW,2000,NULL,NULL,N49078,Water,Base Building,2018-08-09 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-08-09 0:00:00,NULL,TBA,TBA,3.5,3.5,0,NO,35025.4,35025.4,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
75,MLC Centre,MLC Centre,The GPT Group,Office,19-29,Martin Place,SYDNEY,NSW,2000,-33.86841855,151.2092,N51110,Energy,Base Building,2019-01-28 0:00:00,5.5,4.5,38.1,YES,NULL,NULL,3349675,5276691,51.9405959,81.82121398,337,NULL,NULL,NULL,21780131.34,NO,2019-01-28 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
75,MLC Centre,MLC Centre,NSW DEPARTMENT OF PRIMARY INDUSTRIES,Office,19-29,Martin Place,SYDNEY,NSW,2000,-33.86841855,151.2092,N49387,Energy,Tenancy,2018-09-25 0:00:00,4,4,0,NO,NULL,NULL,527866,527866,110.0959413,110.0959413,400,NULL,NULL,NULL,1919512.8,NO,2018-09-25 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
75,MLC Centre,MLC Centre,LANDCOM,Office,19-29,Martin Place,SYDNEY,NSW,2000,-33.86841855,151.2092,N48888,Energy,Tenancy,2018-08-31 0:00:00,6,5.5,100,YES,NULL,NULL,0,130875,0,57.32588699,208,NULL,NULL,NULL,475907.76,NO,2018-08-31 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
75,MLC Centre,MLC Centre,The GPT Group,Office,19-29,Martin Place,SYDNEY,NSW,2000,-33.86841855,151.2092,N51110,Water,Base Building,2019-01-28 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-01-28 0:00:00,NULL,TBA,TBA,2.5,2.5,0,NO,67916.8,67916.8,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
76,Riverside Centre,Riverside Centre,The GPT Metro Office Fund,Office,123,Eagle Street,BRISBANE CITY,QLD,4000,-27.46720985,153.0304802,N48609,Energy,Base Building,2018-06-17 0:00:00,5.5,4.5,29.2,YES,NULL,NULL,3010237,4244566,67.09723652,94.61004195,369,NULL,NULL,NULL,16595941.32,NO,2018-06-17 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
76,Riverside Centre,Riverside Centre,The GPT Metro Office Fund,Office,123,Eagle Street,BRISBANE CITY,QLD,4000,-27.46720985,153.0304802,N48609,Water,Base Building,2018-06-17 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-06-17 0:00:00,NULL,TBA,TBA,3.5,3.5,0,NO,41104.8,41104.8,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
90,ATO Mount Gravatt,ATO Mount Gravatt,LAOF IV Gravatt Pty Ltd,Office,2221,Logan Road,UPPER MOUNT GRAVATT,QLD,4122,-27.56585292,153.0872291,N49649,Energy,Base Building,2018-10-27 0:00:00,5,5,0,NO,NULL,NULL,1459939,1459939,93.59843312,93.59843312,363,NULL,NULL,NULL,5674687.88,NO,2018-10-27 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
90,ATO Mount Gravatt,ATO Mount Gravatt,LAOF IV Gravatt Pty Ltd,Office,2221,Logan Road,UPPER MOUNT GRAVATT,QLD,4122,-27.56585292,153.0872291,N49649,Water,Base Building,2018-10-27 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-10-27 0:00:00,NULL,TBA,TBA,6,6,0,NO,1582.1,1582.1,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
95,FERRERO Australia Pty Limited,,AQUALAND NORTH SYDNEY DEVELOPMENT PTY LTD,Office,168,Walker Street,NORTH SYDNEY,NSW,2060,-33.83469092,151.2091365,N48391,Energy,Base Building,2018-06-06 0:00:00,4,4,0,NO,NULL,NULL,1856349,1856349,122.2440338,122.2440338,569,NULL,NULL,NULL,8651768.2,NO,2018-06-06 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
95,FERRERO Australia Pty Limited,FERRERO Australia Pty Limited,FERRERO Australia Pty Limited,Office,168,Walker Street,NORTH SYDNEY,NSW,2060,-33.83469092,151.2091365,N49472,Energy,Tenancy,2018-10-19 0:00:00,3,3,0,NO,NULL,NULL,166791,166791,175.4771173,175.4771173,638,NULL,NULL,NULL,606513.24,NO,2018-10-19 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
95,FERRERO Australia Pty Limited,,AQUALAND NORTH SYDNEY DEVELOPMENT PTY LTD,Office,168,Walker Street,NORTH SYDNEY,NSW,2060,-33.83469092,151.2091365,N48391,Water,Base Building,2018-06-06 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-06-06 0:00:00,NULL,TBA,TBA,2.5,2.5,0,NO,16359.7,16359.7,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
105,68 Pitt St,68 Pitt St,Charter Hall Direct Property Management Limited,Office,68,Pitt Street,SYDNEY,NSW,2000,-33.86605152,151.2090421,N51570,Energy,Base Building,2019-04-09 0:00:00,3.5,3.5,0,NO,NULL,NULL,1551724,1551724,124.036706,124.036706,580,NULL,NULL,NULL,7265424.86,NO,2019-04-09 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
105,68 Pitt St,68 Pitt St,Charter Hall Direct Property Management Limited,Office,68,Pitt Street,SYDNEY,NSW,2000,-33.86605152,151.2090421,N51570,Water,Base Building,2019-04-09 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-04-09 0:00:00,NULL,TBA,TBA,3.5,3.5,0,NO,10499.2,10499.2,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
106,Elizabeth Plaza,Elizabeth Plaza,THE TRUSTEE FOR REPUBLIC TRUST,Office,2,Elizabeth Plaza,NORTH SYDNEY,NSW,2060,-33.83923909,151.2076477,N49560,Energy,Base Building,2018-10-14 0:00:00,2.5,2.5,0,NO,NULL,NULL,964762,964762,153.8572682,153.8572682,560,NULL,NULL,NULL,3511679.98,NO,2018-10-14 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
