RatingReferenceNumber,PremiseID,PremiseName,StarRatingWithGreenPower,StarRatingWithoutGreenPower,PremiseType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,GNAFLGA,StarRating,CertificateValidTo,RatingType,RatingScope
N49295,4617,99 Melbourne St,5 Stars,5 Stars,Office,99,Melbourne Street,SOUTH BRISBANE,QLD,4101,-27.47452402,153.0167883,BRISBANE CITY,5 Stars,2018-10-13 0:00:00,Energy,Base Building
N49692,1781,99 Plain Street,1.5 Stars,1.5 Stars,Office,99,Plain Street,EAST PERTH,WA,6004,-31.95991965,115.8743381,CITY OF PERTH,1.5 Stars,2018-11-24 0:00:00,Water,Whole Building
N49692,1781,99 Plain Street,4 Stars,4 Stars,Office,99,Plain Street,EAST PERTH,WA,6004,-31.95991965,115.8743381,CITY OF PERTH,4 Stars,2018-11-24 0:00:00,Energy,Whole Building
N48624,5285,990 La Trobe St,5.5 Stars,5.5 Stars,Office,990,La Trobe Street,DOCKLANDS,VIC,3008,-37.81415417,144.9472229,MELBOURNE CITY,5.5 Stars,2018-06-12 0:00:00,Energy,Base Building
N49170,5285,990 La Trobe St,6 Stars,6 Stars,Office,990,La Trobe Street,DOCKLANDS,VIC,3008,-37.81415417,144.9472229,MELBOURNE CITY,6 Stars,2018-08-16 0:00:00,Water,Base Building
N49355,7531,999 Hay,3.5 Stars,3.5 Stars,Office,999,Hay Street,PERTH,WA,6000,-31.95149237,115.8496247,CITY OF PERTH,3.5 Stars,2018-08-29 0:00:00,Water,Base Building
N49355,7531,999 Hay,4.5 Stars,4.5 Stars,Office,999,Hay Street,PERTH,WA,6000,-31.95149237,115.8496247,CITY OF PERTH,4.5 Stars,2018-08-29 0:00:00,Energy,Base Building
N48345,5499,Abacus Property Group,5 Stars,5 Stars,Office,264-278,George Street,SYDNEY,NSW,2000,-33.86494844,151.2079552,COUNCIL OF THE CITY OF SYDNEY,5 Stars,2018-04-20 0:00:00,Energy,Tenancy
N51058,7688,ABS Finance House,4 Stars,4 Stars,Office,97-101,Faulkner Street,ARMIDALE,NSW,2350,-30.51330468,151.6676645,ARMIDALE REGIONAL COUNCIL,4 Stars,2019-01-19 0:00:00,Energy,Whole Building
N51058,7688,ABS Finance House,4.5 Stars,4.5 Stars,Office,97-101,Faulkner Street,ARMIDALE,NSW,2350,-30.51330468,151.6676645,ARMIDALE REGIONAL COUNCIL,4.5 Stars,2019-01-19 0:00:00,Water,Whole Building
